Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
750000,760,107,3,2,1,2,0,1,0,0,Mooca/São Paulo,sale,apartment,-23.5603888,-46.595026
620000,0,83,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844
800000,1200,120,4,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5650862,-46.5910806
540000,600,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5569867,-46.5916084
920000,900,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5616363,-46.6015043
713990,530,86,2,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844
745000,750,92,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.561991,-46.5871744
435000,0,52,2,1,0,1,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5471924,-46.6056923
990000,990,118,3,4,3,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5584436,-46.5934512
460000,600,63,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.559749,-46.5828386
705000,0,132,3,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5696671,-46.5915167
399000,550,60,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5659633,-46.5913333
850000,700,110,3,4,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5676248,-46.5836587
530000,1300,107,2,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5671568,-46.5913476
425000,450,64,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5577328,-46.5815283
900000,970,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5564048,-46.606369
526000,400,70,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,0.0,0.0
495000,0,60,2,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5618727,-46.5801711
350000,600,79,2,1,0,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5803283,-46.5915894
1000000,820,122,3,3,2,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5623176,-46.6037017
636000,0,74,2,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5552465,-46.5883667
420000,0,63,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5673715,-46.5799297
459400,0,68,3,2,1,1,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5471924,-46.6056923
670000,1480,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5633306,-46.594232
827900,0,109,3,4,3,2,0,0,1,0,Mooca/São Paulo,sale,apartment,0.0,0.0
270000,250,35,1,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5560586,-46.6194463
999000,1800,190,2,3,2,3,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5585862,-46.6001676
560000,750,110,2,1,0,1,0,1,0,0,Mooca/São Paulo,sale,apartment,-23.5608778,-46.6015356
550000,770,80,3,2,1,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505
531000,505,70,2,2,1,1,1,0,1,1,Mooca/São Paulo,sale,apartment,0.0,0.0
550000,500,63,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,0.0,0.0
689900,500,86,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844
620000,638,76,3,2,1,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5515271,-46.6021199
410000,360,63,3,2,1,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5496259,-46.6113732
229310,480,60,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5537483,-46.6220122
580000,1368,125,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.561358,-46.5985842
270000,300,77,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5544909,-46.5933179
490245,550,65,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5618259,-46.5801923
530000,0,68,2,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5703151,-46.5759618
320000,740,55,2,1,0,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5585178,-46.5948037
480000,0,72,3,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5587624,-46.5941499
1408000,1600,108,2,3,2,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6040517,-46.6948844
579000,390,63,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.622119,-46.686306
670000,790,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.5634559,-46.6408459
540000,1000,75,2,1,0,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.605129,-46.692501
1400000,1200,125,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6223085,-46.6956178
980000,1200,83,1,2,1,1,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6099141,-46.6816952
870000,900,97,3,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6110106,-46.6825191
1800000,2090,158,2,3,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6116456,-46.6787316
1400000,1850,152,3,3,2,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6122223,-46.6826425
640000,880,59,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6108304,-46.6873233
1300000,1900,136,3,3,2,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6075553,-46.6916043
926012,700,79,2,2,1,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6251021,-46.6930767
1260545,1500,105,3,4,3,2,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6251021,-46.6930767
1198000,1450,119,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6000081,-46.6878647
585000,900,50,1,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6186739,-46.6853961
1259000,850,80,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6116403,-46.6926875
